,lifes,levelSize,nbOfCoins,minDistBTPlatform,maxDistBTPlatform,Proc_enemy,Proc_springPlatform,Proc_fallingPlatform,Proc_mediumPlatform,Proc_smallPlatform,Proc_spawBonus,Proc_rocket,Proc_shield,Proc_backstop
lvl_1,1,5,2,10,20,0,0,0,50,0,0,0,0,0
lvl_2,1,10,2,10,22,0,30,0,50,10,0,0,0,0
lvl_3,1,13,2,10,24,0,0,30,50,10,0,0,0,0
lvl_4,1,16,2,10,26,30,0,0,50,10,30,0,100,0
lvl_5,1,19,2,10,28,0,0,0,50,10,30,100,0,0
lvl_6,1,22,2,10,30,0,0,0,50,10,30,0,0,100
lvl_7,1,25,2,10,32,10,10,10,50,11,30,33,33,33
lvl_8,1,28,2,10,34,10,10,20,50,11,20,33,33,33
lvl_9,1,31,2,10,36,10,10,20,50,11,20,20,50,10
lvl_10,1,32,2,10,38,10,10,20,50,11,20,20,50,10
lvl_11,1,33,2,10,40,10,10,20,50,11,20,20,50,10
lvl_12,1,34,2,10,42,11,10,20,50,11,20,20,50,30
lvl_13,1,35,2,10,44,11,10,20,50,11,20,20,50,30
lvl_14,1,36,2,10,46,11,10,20,50,11,20,20,50,30
lvl_15,1,37,2,10,48,12,10,20,50,11,20,20,50,30
lvl_16,1,38,2,10,50,12,10,20,50,11,20,20,50,30
lvl_17,1,39,2,10,52,12,10,20,50,12,20,20,50,30
lvl_18,1,40,2,10,54,12,10,20,50,12,20,20,50,30
lvl_19,1,41,2,10,56,12,10,20,50,12,20,20,50,30
lvl_20,1,42,2,10,57,12,10,20,50,12,20,20,50,30
lvl_21,1,43,2,11,57,12,10,20,50,12,20,20,50,30
lvl_22,1,44,2,12,57,12,10,20,50,12,20,20,50,30
lvl_23,1,45,2,13,57,12,10,20,50,12,20,20,50,30
lvl_24,1,46,2,14,63,12,10,20,50,12,20,20,50,30
lvl_25,1,47,2,15,64,15,10,20,45,13,20,20,50,30
lvl_26,1,48,2,16,65,15,10,20,45,13,20,20,50,30
lvl_27,1,49,2,17,66,15,10,20,45,13,20,20,50,30
lvl_28,1,50,2,18,67,15,10,20,45,13,20,20,50,30
lvl_29,1,51,2,19,68,16,10,20,45,13,20,20,50,30
lvl_30,1,52,2,20,69,16,10,20,45,13,20,20,50,30
lvl_31,1,53,2,21,70,16,10,20,45,13,20,20,50,30
lvl_32,1,54,2,22,71,17,10,20,45,13,20,20,50,30
lvl_33,1,55,2,23,72,17,10,20,45,14,20,20,50,30
lvl_34,1,56,2,24,73,17,10,20,45,14,20,20,50,30
lvl_35,1,57,2,25,74,18,10,20,45,14,20,20,50,30
lvl_36,1,58,2,26,75,18,10,20,45,14,20,20,50,30
lvl_37,1,59,2,27,76,18,10,20,45,14,20,20,50,30
lvl_38,1,60,2,28,77,18,10,20,45,14,20,20,50,30
lvl_39,1,61,2,29,78,19,10,20,45,14,20,20,50,30
lvl_40,1,62,2,30,79,19,10,20,45,15,20,20,50,30
lvl_41,1,63,2,31,80,19,10,20,45,15,20,20,50,30
lvl_42,1,64,2,32,81,20,10,20,45,15,20,20,50,30
lvl_43,1,65,2,33,82,20,10,20,45,15,20,20,50,30
lvl_44,1,66,2,34,83,20,10,20,45,15,20,20,50,30
lvl_45,1,67,2,35,84,21,10,20,45,15,20,20,50,30
lvl_46,1,68,2,36,85,21,10,20,45,15,20,20,50,30
lvl_47,1,69,2,37,86,21,10,20,45,16,20,20,50,30
lvl_48,1,70,2,38,87,21,10,20,45,16,20,20,50,30
lvl_49,1,71,2,39,88,22,10,20,45,16,20,20,50,30
lvl_50,1,72,2,40,89,22,10,20,45,16,20,20,50,30
lvl_51,1,73,2,41,90,22,10,20,40,16,20,20,50,30
lvl_52,1,74,2,42,91,23,10,20,40,16,20,20,50,30
lvl_53,1,75,2,43,92,23,10,20,40,17,20,20,50,30
lvl_54,1,76,2,44,93,23,10,20,40,17,20,20,50,30
lvl_55,1,77,2,45,94,24,10,20,40,17,20,20,50,30
lvl_56,1,78,2,46,95,24,10,20,40,17,20,20,50,30
lvl_57,1,79,2,47,96,24,10,20,40,17,20,20,50,30
lvl_58,1,80,2,48,97,24,10,20,40,17,20,20,50,30
lvl_59,1,81,2,49,98,25,10,20,40,18,20,20,50,30
lvl_60,1,82,2,50,99,25,10,20,40,18,20,20,50,30
lvl_61,1,83,2,51,100,25,10,20,40,18,20,20,50,30
lvl_62,1,84,2,52,100,25,10,20,40,18,20,20,50,30
lvl_63,1,85,2,53,100,25,10,20,40,18,20,20,50,30
lvl_64,1,86,2,54,100,25,10,20,40,19,20,20,50,30
lvl_65,1,87,2,55,100,25,10,20,40,19,20,20,50,30
lvl_66,1,88,2,56,100,25,10,20,40,19,20,20,50,30
lvl_67,1,89,2,57,100,25,10,20,40,19,20,20,50,30
lvl_68,1,90,2,58,100,25,10,20,40,19,20,20,50,30
lvl_69,1,91,2,59,100,25,10,20,40,19,20,20,50,30
lvl_70,1,92,2,60,100,25,10,20,40,20,20,20,50,30
lvl_71,1,93,2,61,100,25,10,20,40,20,20,20,50,30
lvl_72,1,94,2,62,100,25,10,20,40,20,20,20,50,30
